Species,MaxTreeHeight,DBH,parameter,ll,l,m,h,hh,Sg_effect,Incertitude
Anacardium spruceanum,34.3205832403601,>25,tau,0.38157019999999997,1.1451924999999998,1.95628,2.7813074999999996,3.5003120000000005,TRUE,3.1187418000000005
Anaxagorea dolichocarpa,20.7107434960557,1-3,a,-0.08128816000000001,-0.056600525,-0.03154495,-0.014204775,-0.0063391099999999985,NA,0.07494905000000002
Anaxagorea dolichocarpa,20.7107434960557,1-3,O,-4.736047,-4.2133475,-3.7360499999999996,-2.9177675,-1.7316289999999996,TRUE,3.0044180000000003
Anaxagorea dolichocarpa,20.7107434960557,1-3,gamma,-4.571851,-4.304605,-3.99288,-3.6657699999999998,-3.380894,NA,1.1909569999999996
Anaxagorea dolichocarpa,20.7107434960557,1-3,tau,-0.5401846,-0.38797275,-0.211113,-0.0521218,0.0930506000000001,FALSE,0.6332352000000001
Anaxagorea dolichocarpa,20.7107434960557,3-10,a,-0.1077071,-0.08642000000000001,-0.0645422,-0.04901855,-0.03945107,NA,0.06825603
Anaxagorea dolichocarpa,20.7107434960557,3-10,O,-6.60168,-6.10203,-5.48288,-4.9896625,-4.656156,TRUE,1.9455239999999998
Anaxagorea dolichocarpa,20.7107434960557,3-10,gamma,-4.0964149999999995,-3.7707075,-3.41784,-3.0608375,-2.7415209999999997,NA,1.3548939999999998
Anaxagorea dolichocarpa,20.7107434960557,3-10,tau,-0.4853229,-0.31813800000000003,-0.1315555,0.05916195,0.22553969999999998,FALSE,0.7108626
Bocoa prouacensis,41.4816597885501,1-3,a,-0.2019012,-0.15227725,-0.09002070000000001,-0.040356575000000006,-0.015115849999999998,NA,0.18678535000000002
Bocoa prouacensis,41.4816597885501,1-3,O,-5.318097,-4.709135,-4.343135,-3.9401175,-3.2054869999999998,TRUE,2.11261
Bocoa prouacensis,41.4816597885501,1-3,gamma,-2.602589,-2.0213325,-1.3211050000000002,-0.61829275,0.005836708000000899,NA,2.608425708000001
Bocoa prouacensis,41.4816597885501,1-3,tau,-2.7917300000000003,-2.43146,-2.046055,-1.6610375,-1.3435819999999998,TRUE,1.4481480000000004
Bocoa prouacensis,41.4816597885501,3-10,a,-0.12358720000000001,-0.074244525,-0.03734155,-0.01664655,-0.006768318999999994,NA,0.11681888100000001
Bocoa prouacensis,41.4816597885501,3-10,O,-5.872689,-4.8106425,-3.8746099999999997,-3.0412125000000003,-1.903143,TRUE,3.9695460000000002
Bocoa prouacensis,41.4816597885501,3-10,gamma,-7.488816,-6.8502675,-6.05342,-5.33307,-4.583226,NA,2.90559
Bocoa prouacensis,41.4816597885501,3-10,tau,-0.24779970000000007,0.1432605,0.525998,0.9436564999999999,1.265436,FALSE,1.5132357
Bocoa prouacensis,41.4816597885501,10-25,a,-0.13985360000000002,-0.12192,-0.103992,-0.0878027,-0.07356279,NA,0.06629081000000002
Bocoa prouacensis,41.4816597885501,10-25,O,-0.6192768000000001,-0.4205105,-0.233486,-0.10186325,-0.03672346999999994,TRUE,0.5825533300000001
Bocoa prouacensis,41.4816597885501,10-25,gamma,-4.742758,-4.27975,-3.765685,-3.231965,-2.739006,NA,2.0037520000000004
Bocoa prouacensis,41.4816597885501,10-25,tau,-0.5441387,-0.27149475,0.01731675,0.2948035,0.5416831000000001,FALSE,1.0858218000000002
Bocoa prouacensis,41.4816597885501,>25,a,-0.5239666000000001,-0.44694075,-0.369225,-0.29768275,-0.23901569999999994,NA,0.2849509000000001
Bocoa prouacensis,41.4816597885501,>25,O,-0.27849209999999996,-0.18097375000000002,-0.0958475,-0.04224795,-0.015603139999999991,TRUE,0.26288895999999995
Bocoa prouacensis,41.4816597885501,>25,gamma,-5.336537,-4.72934,-4.05555,-3.37507,-2.747495,NA,2.589042
Bocoa prouacensis,41.4816597885501,>25,tau,-0.3162397,0.025258299999999997,0.39113699999999996,0.7552780000000001,1.0786640000000003,FALSE,1.3949037000000004
Catostemma fragrans,31.5005957729925,1-3,a,-0.1612966,-0.12852775,-0.1010045,-0.077596,-0.06062684999999999,NA,0.10066975000000003
Catostemma fragrans,31.5005957729925,1-3,O,-6.852002000000001,-6.627845,-6.251435000000001,-5.847652500000001,-5.5225919999999995,TRUE,1.329410000000001
Catostemma fragrans,31.5005957729925,1-3,gamma,-6.787788,-6.28642,-5.71795,-5.16108,-4.643995,NA,2.1437929999999996
Catostemma fragrans,31.5005957729925,1-3,tau,-0.06385015000000008,0.21169975,0.494764,0.7881984999999999,1.0467650000000002,FALSE,1.1106151500000003
Catostemma fragrans,31.5005957729925,3-10,a,-0.1350251,-0.09380329999999999,-0.05819655,-0.033602975,-0.01736619,NA,0.11765891
Catostemma fragrans,31.5005957729925,3-10,O,-6.43125,-5.782855,-4.970715,-4.3708275,-3.884228,TRUE,2.5470220000000006
Catostemma fragrans,31.5005957729925,3-10,gamma,-7.120964,-6.460995,-5.771245,-5.043622500000001,-4.3699319999999995,NA,2.7510320000000004
Catostemma fragrans,31.5005957729925,3-10,tau,-0.1469467,0.2112,0.593437,0.94696375,1.2946250000000001,FALSE,1.4415717000000001
Catostemma fragrans,31.5005957729925,10-25,a,-0.16209790000000002,-0.11058775,-0.06855454999999999,-0.04261435,-0.027088499999999995,NA,0.13500940000000003
Catostemma fragrans,31.5005957729925,10-25,O,-6.291296,-5.408545,-4.358425,-3.5419300000000002,-3.0351599999999994,TRUE,3.2561360000000006
Catostemma fragrans,31.5005957729925,10-25,gamma,-6.222700000000001,-5.3241275,-4.288505000000001,-3.27422,-2.316091,NA,3.9066090000000004
Catostemma fragrans,31.5005957729925,10-25,tau,-1.4903570000000002,-0.9767837500000001,-0.4286935,0.09991635,0.5710171000000002,FALSE,2.0613741
Catostemma fragrans,31.5005957729925,>25,a,-0.2535596,-0.1721345,-0.110517,-0.07242320000000001,-0.04490251,NA,0.20865709
Catostemma fragrans,31.5005957729925,>25,O,-6.359873,-5.4380875,-4.24621,-3.2342874999999998,-2.5388889999999993,TRUE,3.820984000000001
Catostemma fragrans,31.5005957729925,>25,gamma,-7.0030209999999995,-5.134667500000001,-2.989265,-0.7185425,1.2492450000000002,NA,8.252265999999999
Catostemma fragrans,31.5005957729925,>25,tau,-3.0250960000000005,-1.9494299999999998,-0.8084359999999999,0.2700285,1.231989,FALSE,4.257085
Chaetocarpus schomburgkianus,31.7254560632976,1-3,a,-1.6676510000000004,-1.1141999999999999,-0.6714640000000001,-0.31463575,-0.11999779999999999,NA,1.5476532000000005
Chaetocarpus schomburgkianus,31.7254560632976,1-3,O,-4.354824000000001,-4.12466,-3.8721249999999996,-3.4644625000000002,-2.577936,TRUE,1.776888000000001
Chaetocarpus schomburgkianus,31.7254560632976,1-3,gamma,-10.65514,-8.52638,-6.04617,-3.79197,-1.4931889999999997,NA,9.161951
Chaetocarpus schomburgkianus,31.7254560632976,1-3,tau,-3.67369,-2.3910375000000004,-1.20895,0.11405900000000001,1.4132970000000005,FALSE,5.086987000000001
Chaetocarpus schomburgkianus,31.7254560632976,3-10,a,-0.527221,-0.33933350000000007,-0.1995385,-0.113073,-0.060954769999999964,NA,0.4662662300000001
Chaetocarpus schomburgkianus,31.7254560632976,3-10,O,-6.300663000000001,-5.579495,-4.88617,-4.4328725,-4.02465,TRUE,2.2760130000000007
Chaetocarpus schomburgkianus,31.7254560632976,3-10,gamma,-10.18306,-8.555444999999999,-6.900180000000001,-5.165255,-3.358000999999998,NA,6.825059000000001
Chaetocarpus schomburgkianus,31.7254560632976,3-10,tau,-1.8701070000000002,-0.88168275,0.0640738,0.8888050000000001,1.704528,FALSE,3.5746350000000002
Chaetocarpus schomburgkianus,31.7254560632976,10-25,a,-0.214646,-0.13287925,-0.0685106,-0.033537424999999996,-0.014697199999999994,NA,0.1999488
Chaetocarpus schomburgkianus,31.7254560632976,10-25,O,-5.868623,-4.54299,-3.39153,-2.6638974999999996,-1.98868,TRUE,3.8799430000000004
Chaetocarpus schomburgkianus,31.7254560632976,10-25,gamma,-9.284357,-8.042105000000001,-6.65402,-5.18781,-3.866230999999999,NA,5.418126000000001
Chaetocarpus schomburgkianus,31.7254560632976,10-25,tau,-1.0615830000000002,-0.35409875,0.42692600000000003,1.1735974999999998,1.8084050000000003,FALSE,2.869988
Chaetocarpus schomburgkianus,31.7254560632976,>25,a,-1.2383060000000001,-0.9473785,-0.6551745,-0.39230624999999997,-0.20132699999999992,NA,1.036979
Chaetocarpus schomburgkianus,31.7254560632976,>25,O,-2.93182,-2.2143675000000003,-1.834645,-1.600805,-1.44538,TRUE,1.48644
Chaetocarpus schomburgkianus,31.7254560632976,>25,gamma,-7.358067,-5.8090625,-4.03236,-2.2463800000000003,-0.5259302999999992,NA,6.832136700000001
Chaetocarpus schomburgkianus,31.7254560632976,>25,tau,-2.27058,-1.3143425,-0.35997,0.61368775,1.4490490000000003,FALSE,3.7196290000000003
Chimarrhis turbinata,43.5036909780193,1-3,a,-0.1087887,-0.06487365,-0.0336028,-0.01477505,-0.005551833999999998,NA,0.10323686600000001
Chimarrhis turbinata,43.5036909780193,1-3,O,-5.909589,-4.8903075,-3.824455,-2.4855575,-1.2224239999999997,TRUE,4.687165
Chimarrhis turbinata,43.5036909780193,1-3,gamma,-7.3762430000000005,-6.478875,-5.412065,-4.30286,-3.31378,NA,4.062463000000001
Chimarrhis turbinata,43.5036909780193,1-3,tau,-1.790755,-1.256455,-0.666991,-0.11683025,0.3602337000000001,FALSE,2.1509887
Chimarrhis turbinata,43.5036909780193,3-10,a,-0.2917714,-0.19615500000000002,-0.126871,-0.07439885,-0.03280571999999999,NA,0.25896568000000003
Chimarrhis turbinata,43.5036909780193,3-10,O,-2.997027,-2.3695325,-1.6606,-0.8855065000000001,-0.3719352999999999,TRUE,2.6250917
Chimarrhis turbinata,43.5036909780193,3-10,gamma,-10.95495,-9.384414999999999,-7.612185,-5.7914375,-4.1763509999999995,NA,6.778599000000001
Chimarrhis turbinata,43.5036909780193,3-10,tau,-1.3882360000000002,-0.5523287499999999,0.3766945,1.26675,2.057712,FALSE,3.4459480000000005
Chimarrhis turbinata,43.5036909780193,10-25,a,-0.41797170000000006,-0.32110125,-0.234125,-0.16172175,-0.10944749999999998,NA,0.3085242000000001
Chimarrhis turbinata,43.5036909780193,10-25,O,-1.304049,-0.9978242500000001,-0.6474415,-0.32927775000000004,-0.13225549999999997,TRUE,1.1717935000000002
Chimarrhis turbinata,43.5036909780193,10-25,gamma,-7.931846,-6.42381,-4.66249,-2.85768,-1.2588349999999988,NA,6.673011000000002
Chimarrhis turbinata,43.5036909780193,10-25,tau,-3.205543,-2.3244725,-1.34117,-0.37756199999999995,0.4347443000000005,FALSE,3.6402873000000007
Chimarrhis turbinata,43.5036909780193,>25,a,-2.959686,-2.26872,-1.5935350000000001,-1.08518,-0.7283422,NA,2.2313438
Chimarrhis turbinata,43.5036909780193,>25,O,-0.4009994,-0.29156375,-0.1816825,-0.088727375,-0.03716982999999999,TRUE,0.36382957000000005
Chimarrhis turbinata,43.5036909780193,>25,gamma,-5.234579999999999,-3.6142675,-1.640095,0.341188,2.2094770000000006,NA,7.444057
Chimarrhis turbinata,43.5036909780193,>25,tau,-4.574713,-3.4669375,-2.3250450000000003,-1.2499924999999998,-0.34684829999999983,TRUE,4.2278647000000005
Conceveiba guianensis,31.4113807924651,1-3,a,-0.1295751,-0.08822005,-0.05693315,-0.033807875,-0.017147229999999992,NA,0.11242787000000001
Conceveiba guianensis,31.4113807924651,1-3,O,-3.654677,-2.98226,-2.099545,-1.1820225,-0.5193595999999999,TRUE,3.1353174
Conceveiba guianensis,31.4113807924651,1-3,gamma,-11.44619,-10.64805,-9.68358,-8.695045,-7.769100000000001,NA,3.677089999999999
Conceveiba guianensis,31.4113807924651,1-3,tau,1.01723,1.4711874999999999,1.9702,2.43947,2.8454180000000004,TRUE,1.8281880000000004
Conceveiba guianensis,31.4113807924651,3-10,a,-0.06991015,-0.042686175,-0.02176045,-0.00926341,-0.0036197019999999985,NA,0.066290448
Conceveiba guianensis,31.4113807924651,3-10,O,-6.232198,-5.2635024999999995,-4.0548,-2.68953,-1.3584589999999999,TRUE,4.8737390000000005
Conceveiba guianensis,31.4113807924651,3-10,gamma,-9.232804,-8.1743575,-7.069845,-5.9585300000000005,-4.929151999999998,NA,4.303652000000001
Conceveiba guianensis,31.4113807924651,3-10,tau,-0.4907483,0.04777515,0.6277975,1.205085,1.746668,FALSE,2.2374163
Conceveiba guianensis,31.4113807924651,10-25,a,-0.1858059,-0.12588049999999998,-0.06946385,-0.0339952,-0.016930029999999992,NA,0.16887587
Conceveiba guianensis,31.4113807924651,10-25,O,-5.6609,-4.3457075,-3.331025,-2.7751575,-2.3707469999999997,TRUE,3.290153
Conceveiba guianensis,31.4113807924651,10-25,gamma,-8.205747,-7.476555,-6.6507950000000005,-5.853655,-5.094337999999999,NA,3.111409000000002
Conceveiba guianensis,31.4113807924651,10-25,tau,-0.06398743000000007,0.33698449999999996,0.7697419999999999,1.2095275,1.578575,FALSE,1.6425624300000001
Conceveiba guianensis,31.4113807924651,>25,a,-1.442194,-1.037565,-0.653375,-0.3202465,-0.12527599999999997,NA,1.316918
Conceveiba guianensis,31.4113807924651,>25,O,-1.6754220000000002,-1.3184125,-1.095505,-0.8983475,-0.6731604999999998,TRUE,1.0022615000000004
Conceveiba guianensis,31.4113807924651,>25,gamma,-12.78352,-11.344175,-9.684239999999999,-8.128635000000001,-6.638763999999999,NA,6.144756
Conceveiba guianensis,31.4113807924651,>25,tau,0.28208829999999996,1.03465,1.8391899999999999,2.627015,3.3275990000000006,TRUE,3.045510700000001
Cordia nodosa,12.3544026860006,1-3,a,-0.3823479,-0.30228825000000004,-0.2201425,-0.14313725,-0.08008931999999998,NA,0.30225858000000005
Cordia nodosa,12.3544026860006,1-3,O,-5.245329000000001,-4.8822625,-4.647690000000001,-4.4776275,-4.315652,TRUE,0.9296770000000008
Cordia nodosa,12.3544026860006,1-3,gamma,-6.672276,-6.093907499999999,-5.457005,-4.81309,-4.268305,NA,2.4039710000000003
Cordia nodosa,12.3544026860006,1-3,tau,-0.45396120000000006,-0.16308150000000002,0.1782905,0.5088834999999999,0.8140714,FALSE,1.2680326000000002
Cordia nodosa,12.3544026860006,3-10,a,-0.17669690000000005,-0.12140675000000001,-0.0791003,-0.048166075,-0.023417689999999994,NA,0.15327921000000005
Cordia nodosa,12.3544026860006,3-10,O,-6.638529999999999,-6.1115224999999995,-5.383645,-4.685505,-4.091998,TRUE,2.546531999999999
Cordia nodosa,12.3544026860006,3-10,gamma,-9.309131,-8.2699525,-7.19636,-6.096355000000001,-5.066824999999999,NA,4.242306000000002
Cordia nodosa,12.3544026860006,3-10,tau,-0.24393940000000003,0.290705,0.866065,1.4215925,1.9411840000000002,FALSE,2.1851234
Couma guianensis,34.614308897228,1-3,a,-0.25982420000000006,-0.16798525,-0.08060410000000001,-0.0337074,-0.01248265999999997,NA,0.24734154000000008
Couma guianensis,34.614308897228,1-3,O,-6.0413250000000005,-5.2838775,-4.612475,-3.892215,-2.6726619999999994,TRUE,3.368663000000001
Couma guianensis,34.614308897228,1-3,gamma,-9.55526,-8.4414625,-7.27744,-6.268,-5.326699,NA,4.228561000000001
Couma guianensis,34.614308897228,1-3,tau,-0.6401209000000001,-0.12559775,0.4250235,1.0037475,1.5856110000000003,FALSE,2.2257319000000004
Couma guianensis,34.614308897228,3-10,a,-1.6272760000000002,-1.1527725,-0.7452380000000001,-0.39766975000000004,-0.1657611,NA,1.4615149
Couma guianensis,34.614308897228,3-10,O,-3.767697,-3.570475,-3.3735150000000003,-3.1180174999999997,-2.699731,TRUE,1.0679660000000002
Couma guianensis,34.614308897228,3-10,gamma,-9.564504999999999,-7.415125,-5.02319,-2.52713,0.2178573000000008,NA,9.782362299999999
Couma guianensis,34.614308897228,3-10,tau,-4.077469,-2.6384925,-1.254495,0.00879019,1.1379250000000003,FALSE,5.215394
Couma guianensis,34.614308897228,>25,a,-0.31604790000000005,-0.19364674999999998,-0.0930522,-0.0378313,-0.014854259999999998,NA,0.30119364000000004
Couma guianensis,34.614308897228,>25,O,-4.469413,-2.7606075000000003,-1.7860200000000002,-1.2541475000000002,-0.7773415999999997,TRUE,3.6920714000000006
Couma guianensis,34.614308897228,>25,gamma,-6.716313,-5.652424999999999,-4.387205,-3.170365,-2.049069,NA,4.667244
Couma guianensis,34.614308897228,>25,tau,-1.475577,-0.86622825,-0.210679,0.444048,1.008245,FALSE,2.483822
Couratari multiflora,36.0801231784184,1-3,a,-0.10976620000000001,-0.084191975,-0.0595378,-0.03509815,-0.0163958,NA,0.0933704
Couratari multiflora,36.0801231784184,1-3,O,-6.7762,-6.4716275,-5.97921,-5.351090000000001,-4.6790709999999995,TRUE,2.0971290000000007
Couratari multiflora,36.0801231784184,1-3,gamma,-4.019683,-3.34478,-2.687745,-1.9940149999999999,-1.358159,NA,2.661524
Couratari multiflora,36.0801231784184,1-3,tau,-2.393055,-2.0370325,-1.65567,-1.27072,-0.9121587999999998,TRUE,1.4808962
Couratari multiflora,36.0801231784184,3-10,a,-0.1889705,-0.1165715,-0.05722595,-0.024069425,-0.008945693999999995,NA,0.180024806
Couratari multiflora,36.0801231784184,3-10,O,-5.4741599999999995,-4.3918675,-3.649865,-2.9343500000000002,-1.8180289999999992,TRUE,3.6561310000000002
Couratari multiflora,36.0801231784184,3-10,gamma,-4.102137000000001,-3.2455125,-2.215205,-1.1629325,-0.24502519999999994,NA,3.857111800000001
Couratari multiflora,36.0801231784184,3-10,tau,-2.997272,-2.5157,-1.91141,-1.3546575,-0.8789875999999996,TRUE,2.1182844000000003
Couratari multiflora,36.0801231784184,10-25,a,-0.10832540000000002,-0.0694261,-0.04111595,-0.022100675,-0.010056309999999995,NA,0.09826909000000002
Couratari multiflora,36.0801231784184,10-25,O,-6.154155,-5.133375000000001,-3.918415,-2.961455,-2.192239999999999,TRUE,3.961915000000001
Couratari multiflora,36.0801231784184,10-25,gamma,-3.3161490000000002,-2.247855,-1.0748600000000001,0.16627075000000002,1.3306540000000002,NA,4.646803
Couratari multiflora,36.0801231784184,10-25,tau,-3.606031,-2.9589849999999998,-2.258335,-1.5960524999999999,-1.002208,TRUE,2.603823
Couratari multiflora,36.0801231784184,>25,a,-0.26382160000000004,-0.1914555,-0.1345135,-0.09656914999999999,-0.07524823,NA,0.18857337000000005
Couratari multiflora,36.0801231784184,>25,O,-6.358301,-5.5487375,-4.44257,-3.5839675,-3.01921,TRUE,3.339091
Couratari multiflora,36.0801231784184,>25,gamma,-0.10448690000000029,1.080085,2.47587,3.856085,5.151273000000001,NA,5.255759900000001
Couratari multiflora,36.0801231784184,>25,tau,-4.558356000000001,-3.8874899999999997,-3.1421799999999998,-2.4320775,-1.813024,TRUE,2.7453320000000008
Dicorynia guianensis,36.5835549784786,1-3,a,-0.06692532000000001,-0.041048150000000005,-0.02108695,-0.009059560000000001,-0.003483994,NA,0.063441326
Dicorynia guianensis,36.5835549784786,1-3,O,-6.386702,-5.6424575,-4.62822,-3.4288024999999998,-1.7878339999999997,TRUE,4.5988679999999995
Dicorynia guianensis,36.5835549784786,1-3,gamma,-5.073212000000001,-4.4072425,-3.6774899999999997,-2.9259725,-2.243405,NA,2.8298070000000006
Dicorynia guianensis,36.5835549784786,1-3,tau,-1.9438750000000002,-1.5612700000000002,-1.14797,-0.7381679999999999,-0.3731393999999999,TRUE,1.5707356000000003
Dicorynia guianensis,36.5835549784786,3-10,a,-0.1073789,-0.063899825,-0.03216655,-0.014112650000000001,-0.005487381999999996,NA,0.101891518
Dicorynia guianensis,36.5835549784786,3-10,O,-5.551774,-4.3149875,-3.25687,-2.1479125,-1.0490069999999996,TRUE,4.502767
Dicorynia guianensis,36.5835549784786,3-10,gamma,-3.3645370000000003,-2.3161725,-1.155685,0.052352249999999996,1.181587,NA,4.546124000000001
Dicorynia guianensis,36.5835549784786,3-10,tau,-3.805719,-3.1761549999999996,-2.484675,-1.8381775,-1.2632219999999998,TRUE,2.542497
Dicorynia guianensis,36.5835549784786,10-25,a,-0.1377035,-0.0866852,-0.04472685,-0.019721549999999997,-0.008090171999999998,NA,0.129613328
Dicorynia guianensis,36.5835549784786,10-25,O,-5.376296000000001,-3.9562424999999997,-2.903565,-2.2424075,-1.5513639999999997,TRUE,3.8249320000000013
Dicorynia guianensis,36.5835549784786,10-25,gamma,-0.23671810000000013,0.8340665,1.993955,3.21306,4.365287,NA,4.6020051
Dicorynia guianensis,36.5835549784786,10-25,tau,-5.462071,-4.78608,-4.089835,-3.4297174999999998,-2.8197919999999996,TRUE,2.6422790000000003
Dicorynia guianensis,36.5835549784786,>25,a,-0.5319193,-0.43224300000000004,-0.329785,-0.22955199999999998,-0.1502288,NA,0.3816905
Dicorynia guianensis,36.5835549784786,>25,O,-3.5978520000000005,-2.8569975,-2.41108,-2.134255,-1.954449,TRUE,1.6434030000000004
Dicorynia guianensis,36.5835549784786,>25,gamma,-1.3619280000000002,-0.588591,0.2735785,1.2042975,2.0693020000000004,NA,3.4312300000000007
Dicorynia guianensis,36.5835549784786,>25,tau,-2.935589,-2.4692250000000002,-1.9859900000000001,-1.5169025,-1.1010219999999993,TRUE,1.8345670000000005
Duroia longiflora,30.3256425306888,1-3,a,-0.4698121,-0.30921525,-0.1709255,-0.06547109999999999,-0.022091219999999998,NA,0.44772088
Duroia longiflora,30.3256425306888,1-3,O,-5.191022,-4.582845,-4.31434,-3.8267775,-2.823219,TRUE,2.3678030000000003
Duroia longiflora,30.3256425306888,1-3,gamma,-7.54923,-6.53665,-5.78222,-4.889835,-3.821486999999999,NA,3.7277430000000007
Duroia longiflora,30.3256425306888,1-3,tau,-1.417522,-0.81575775,-0.310323,0.060882700000000005,0.5772411000000004,FALSE,1.9947631000000003
Duroia longiflora,30.3256425306888,3-10,a,-0.09180389,-0.056396725,-0.0297487,-0.013291225,-0.005352246,NA,0.086451644
Duroia longiflora,30.3256425306888,3-10,O,-5.483896,-4.217485,-3.02385,-1.8871974999999999,-0.9097044,TRUE,4.5741916
Duroia longiflora,30.3256425306888,3-10,gamma,-9.255999000000001,-8.293425,-7.28703,-6.1662349999999995,-5.190363,NA,4.065636000000001
Duroia longiflora,30.3256425306888,3-10,tau,-0.25843980000000016,0.260772,0.8329555,1.3632,1.8542730000000005,FALSE,2.1127128000000006
Duroia longiflora,30.3256425306888,10-25,a,-0.1345263,-0.0889249,-0.04928995,-0.020901475,-0.007602986999999995,NA,0.12692331299999998
Duroia longiflora,30.3256425306888,10-25,O,-3.606367,-2.2301325000000003,-1.48496,-0.83750575,-0.37599279999999985,TRUE,3.2303742000000004
Duroia longiflora,30.3256425306888,10-25,gamma,-8.273978000000001,-7.4252475,-6.445645000000001,-5.5023625,-4.617049,NA,3.6569290000000017
Duroia longiflora,30.3256425306888,10-25,tau,-0.32032630000000006,0.147196,0.65308600000000006,1.18204,1.6249710000000004,FALSE,1.9452973000000005
Eperua falcata,39.8820458504753,1-3,a,-0.28084760000000003,-0.17994849999999998,-0.09882584999999999,-0.0505546,-0.023899129999999987,NA,0.25694847000000004
Eperua falcata,39.8820458504753,1-3,O,-4.30332,-3.7553475,-3.075,-2.0121775,-0.9409226999999997,TRUE,3.3623973000000005
Eperua falcata,39.8820458504753,1-3,gamma,-19.068009999999997,-17.531650000000003,-15.85265,-14.219574999999999,-12.725579999999997,NA,6.34243
Eperua falcata,39.8820458504753,1-3,tau,1.337972,1.997345,2.69778,3.3768525,3.9763620000000004,TRUE,2.6383900000000002
Eperua falcata,39.8820458504753,3-10,a,-0.37253200000000014,-0.243323,-0.137283,-0.07109817499999999,-0.032067169999999964,NA,0.34046483000000016
Eperua falcata,39.8820458504753,3-10,O,-6.325052,-5.5519775000000005,-4.69533,-4.065715,-3.5035789999999993,TRUE,2.821473000000001
Eperua falcata,39.8820458504753,3-10,gamma,-29.847510000000003,-26.5407,-23.142699999999998,-19.9784,-17.310309999999998,NA,12.537200000000006
Eperua falcata,39.8820458504753,3-10,tau,2.236539,3.2426700000000004,4.410155,5.6116624999999996,6.706698000000001,TRUE,4.470159000000001
Eperua falcata,39.8820458504753,10-25,a,-0.1372953,-0.094260775,-0.0606493,-0.036595724999999996,-0.019801029999999997,NA,0.11749427000000001
